temperature_c,rainfall_mm,humidity_percent,solar_radiation_w_m2,soil_nutrients_index,soil_moisture_percent,soil_ph,organic_matter_percent,electrical_conductivity_ds_m,soil_type,area_type,crop_yield_ton_per_hectare
36.2,0.0,54.06,382.15,63.84,30.24,6.33,3.24,0.84,clay,arid,1.7
33.38,2011.21,92.73,202.12,51.22,41.56,6.01,2.77,1.21,clay,riverine,2.13
36.96,2083.37,63.72,214.12,72.92,47.67,7.39,5.66,0.93,clay,tropical,2.57
29.2,1876.46,63.33,272.43,42.1,50.33,6.61,5.69,1.11,silt,coastal,3.0
33.33,1669.21,64.88,263.8,49.43,30.96,7.46,2.45,2.07,silt,tropical,1.41
28.54,1714.72,71.05,287.24,75.93,30.34,5.35,4.39,0.72,peat,tropical,2.53
13.88,1233.15,65.46,186.75,49.96,45.39,7.85,4.19,1.3,peat,hilly,1.31
17.44,744.33,65.33,261.57,76.08,42.43,7.63,1.6,0.96,peat,inland,2.55
23.95,366.3,40.76,238.9,59.77,52.1,8.04,3.97,1.24,peat,arid,1.91
24.83,502.23,73.26,302.95,17.51,15.43,7.4,3.72,0.37,peat,inland,0.5
30.17,2469.2,79.66,223.21,23.41,41.24,6.39,3.86,2.04,loam,coastal,1.34
29.87,1450.35,64.07,211.91,36.36,42.17,8.06,3.21,1.63,clay,coastal,1.58
28.68,1610.33,92.78,213.22,75.17,28.44,7.28,3.74,1.76,loam,tropical,2.55
19.92,449.64,61.68,315.45,98.93,42.03,5.4,2.38,1.13,peat,inland,1.73
25.75,316.76,47.66,268.01,50.3,31.45,5.04,2.86,1.19,silt,arid,1.65
30.15,485.26,47.82,281.96,54.71,33.3,6.32,3.99,0.67,loam,arid,1.81
31.21,1999.15,87.41,237.69,74.69,52.46,8.06,4.77,0.1,silt,tropical,2.77
31.24,170.06,47.94,308.27,20.74,53.21,5.99,4.86,2.12,loam,arid,1.29
20.26,1722.02,75.67,162.98,61.64,40.03,7.22,3.34,2.27,silt,hilly,2.2
24.2,526.12,49.26,310.23,72.32,26.72,6.16,0.5,0.76,sandy,inland,1.07
36.69,1399.89,69.13,211.1,47.73,29.73,6.55,2.43,1.32,chalk,coastal,2.0
22.97,545.87,22.17,289.54,48.69,40.46,6.27,3.72,0.99,loam,arid,1.53
35.56,253.14,35.59,312.26,80.99,37.49,7.64,2.7,2.39,chalk,arid,1.43
28.54,244.84,47.74,281.15,80.76,26.7,6.35,3.56,0.97,peat,arid,2.22
30.29,2226.53,84.6,245.32,48.13,40.56,5.89,0.5,1.48,loam,tropical,1.82
28.86,1416.97,61.58,235.54,114.04,40.19,8.5,1.74,1.39,clay,coastal,2.79
24.36,988.58,59.72,220.65,56.67,8.76,5.71,3.33,2.22,silt,inland,1.3
31.74,37.16,33.79,265.43,84.33,39.12,6.84,1.85,0.88,loam,arid,1.59
21.96,1477.82,73.94,206.26,65.62,39.12,6.22,2.72,1.73,clay,hilly,2.21
29.0,1993.06,74.82,227.89,46.8,53.55,6.3,0.66,0.77,clay,riverine,2.2
33.05,1900.69,85.59,248.84,51.31,25.11,7.34,4.21,1.08,sandy,tropical,1.86
28.39,1076.33,73.75,179.99,54.1,5.75,6.2,7.45,0.37,peat,inland,1.26
36.78,326.96,48.31,312.5,26.95,44.76,6.97,5.14,0.84,clay,arid,0.99
29.12,855.04,49.23,251.12,71.47,53.86,6.65,2.91,1.3,sandy,inland,1.8
29.72,2152.2,98.28,249.85,64.75,39.81,6.05,0.87,1.75,sandy,tropical,2.69
27.1,1713.82,81.51,214.49,64.15,42.03,7.37,1.69,0.1,silt,riverine,1.89
